census_year,clue_small_area,clue_industry,total_establishments
2012,City of Melbourne (total),Business Services,493
2012,City of Melbourne (total),Real Estate Services,13
2012,City of Melbourne (total),Real Estate Services,255
2012,City of Melbourne (total),Rental and Hiring Services,61
2012,City of Melbourne (total),"Transport, Postal and Storage",200
2011,City of Melbourne (total),Food Catering Services,8
2011,City of Melbourne (total),"Electricity, Gas, Water",15
2011,City of Melbourne (total),Information Media,12
2011,City of Melbourne (total),Information Media,224
2011,City of Melbourne (total),Information Media,78
2011,City of Melbourne (total),Agriculture and Mining,47
2011,City of Melbourne (total),Other Services,1145
2011,City of Melbourne (total),Business Services,14
2011,City of Melbourne (total),Public Administration and Safety,3
2011,City of Melbourne (total),Public Administration and Safety,130
2011,City of Melbourne (total),Real Estate Services,2
2011,City of Melbourne (total),Rental and Hiring Services,1
2010,City of Melbourne (total),Food Catering Services,74
2010,City of Melbourne (total),Arts and Recreation Services,279
2010,City of Melbourne (total),"Electricity, Gas, Water",18
2010,City of Melbourne (total),Manufacturing,68
2010,City of Melbourne (total),Agriculture and Mining,4
2010,City of Melbourne (total),Public Administration and Safety,134
2010,City of Melbourne (total),Retail Trade,2314
2010,City of Melbourne (total),Retail Trade,7
2010,City of Melbourne (total),Wholesale Trade,10
2009,City of Melbourne (total),Food Catering Services,74
2009,City of Melbourne (total),Admin and Support Services,12
2009,City of Melbourne (total),Arts and Recreation Services,197
2009,City of Melbourne (total),"Electricity, Gas, Water",153
2009,City of Melbourne (total),Finance and Insurance,199
2009,City of Melbourne (total),Health Care and Social Assistance,889
2009,City of Melbourne (total),Other Services,92
2009,City of Melbourne (total),Business Services,22
2009,City of Melbourne (total),Real Estate Services,4
2009,City of Melbourne (total),Wholesale Trade,96
2008,City of Melbourne (total),Food Catering Services,137
2008,City of Melbourne (total),Food Catering Services,74
2008,City of Melbourne (total),Food and Beverage Services,246
2008,City of Melbourne (total),Agriculture and Mining,5
2008,City of Melbourne (total),Arts and Recreation Services,73
2008,City of Melbourne (total),Construction,7
2008,City of Melbourne (total),"Electricity, Gas, Water",16
2008,City of Melbourne (total),Finance and Insurance,9
2008,City of Melbourne (total),Finance and Insurance,51
2008,City of Melbourne (total),Health Care and Social Assistance,848
2008,City of Melbourne (total),Health Care and Social Assistance,17
2008,City of Melbourne (total),Real Estate Services,223
2008,City of Melbourne (total),"Transport, Postal and Storage",54
2007,City of Melbourne (total),Arts and Recreation Services,186
2007,City of Melbourne (total),Construction,155
2007,City of Melbourne (total),Education and Training,11
2007,City of Melbourne (total),"Electricity, Gas, Water",11
2007,City of Melbourne (total),Finance and Insurance,50
2007,City of Melbourne (total),Health Care and Social Assistance,72
2007,City of Melbourne (total),Manufacturing,14
2007,City of Melbourne (total),"Transport, Postal and Storage",82
2007,City of Melbourne (total),Wholesale Trade,76
2006,City of Melbourne (total),Food Catering Services,64
2006,City of Melbourne (total),Construction,37
2006,City of Melbourne (total),Finance and Insurance,50
2006,City of Melbourne (total),Business Services,1916
2006,City of Melbourne (total),Retail Trade,2102
2006,City of Melbourne (total),Wholesale Trade,5
2005,City of Melbourne (total),Food Catering Services,63
2005,City of Melbourne (total),Food and Beverage Services,1469
2005,City of Melbourne (total),Admin and Support Services,6
2005,City of Melbourne (total),Construction,5
2005,City of Melbourne (total),Education and Training,102
2005,City of Melbourne (total),Finance and Insurance,563
2005,City of Melbourne (total),Manufacturing,5
2005,City of Melbourne (total),Manufacturing,58
2005,City of Melbourne (total),Other Services,5
2005,City of Melbourne (total),"Transport, Postal and Storage",14
2005,City of Melbourne (total),Wholesale Trade,5
2004,City of Melbourne (total),Information Media,83
2004,City of Melbourne (total),Other Services,76
2004,City of Melbourne (total),Public Administration and Safety,3
2003,City of Melbourne (total),Food Catering Services,121
2003,City of Melbourne (total),Food Catering Services,58
2003,City of Melbourne (total),Agriculture and Mining,12
2003,City of Melbourne (total),Agriculture and Mining,3
2003,City of Melbourne (total),Education and Training,185
2003,City of Melbourne (total),"Electricity, Gas, Water",5
2003,City of Melbourne (total),Finance and Insurance,7
2003,City of Melbourne (total),Information Media,235
2003,City of Melbourne (total),Rental and Hiring Services,1
2002,City of Melbourne (total),Food Catering Services,7
2002,City of Melbourne (total),Food and Beverage Services,1214
2002,City of Melbourne (total),Construction,32
2002,City of Melbourne (total),"Electricity, Gas, Water",5
2002,City of Melbourne (total),Finance and Insurance,48
2002,City of Melbourne (total),Business Services,42
2002,City of Melbourne (total),Public Administration and Safety,90
2002,City of Melbourne (total),"Transport, Postal and Storage",67
2002,City of Melbourne (total),Wholesale Trade,53
2002,City of Melbourne (total),Wholesale Trade,5
2008,West Melbourne (Residential),Finance and Insurance,2
2008,West Melbourne (Residential),Health Care and Social Assistance,3
2008,West Melbourne (Residential),Business Services,14
2008,West Melbourne (Residential),Rental and Hiring Services,1
2008,West Melbourne (Residential),"Transport, Postal and Storage",1
2007,Carlton,Food and Beverage Services,2
2007,Carlton,Food and Beverage Services,184
2007,Carlton,Education and Training,51
2007,Carlton,"Electricity, Gas, Water",15
2007,Carlton,Other Services,21
2007,Carlton,Other Services,120
2007,Carlton,Business Services,131
2007,Carlton,Retail Trade,5
2007,Docklands,Food and Beverage Services,1
2007,Docklands,Arts and Recreation Services,3
2007,Docklands,Education and Training,2
2007,Docklands,Information Media,3
2007,Docklands,Manufacturing,1
2007,Docklands,Other Services,23
2007,Docklands,Rental and Hiring Services,3
2007,Docklands,"Transport, Postal and Storage",9
2007,East Melbourne,Arts and Recreation Services,16
2007,East Melbourne,Finance and Insurance,7
2007,East Melbourne,Other Services,11
2007,East Melbourne,Other Services,5
2007,East Melbourne,Public Administration and Safety,8
2007,Kensington,"Electricity, Gas, Water",5
2007,Kensington,Health Care and Social Assistance,9
2007,Kensington,Business Services,8
2007,Melbourne (CBD),Food Catering Services,44
2007,Melbourne (CBD),Construction,10
2007,Melbourne (CBD),Education and Training,68
2007,Melbourne (CBD),Finance and Insurance,495
2007,Melbourne (CBD),Manufacturing,1
2007,Melbourne (CBD),Other Services,2
2007,Melbourne (CBD),Retail Trade,9
2007,Melbourne (CBD),Wholesale Trade,1
2007,Melbourne (Remainder),Education and Training,3
2007,Melbourne (Remainder),"Electricity, Gas, Water",3
2007,Melbourne (Remainder),Agriculture and Mining,1
2007,Melbourne (Remainder),Business Services,28
2007,Melbourne (Remainder),Wholesale Trade,8
2007,North Melbourne,Food and Beverage Services,2
2007,North Melbourne,Health Care and Social Assistance,1
2007,North Melbourne,Manufacturing,8
2007,North Melbourne,Business Services,2
2007,North Melbourne,Wholesale Trade,2
2007,North Melbourne,Wholesale Trade,73
2007,Parkville,Food Catering Services,1
2007,Parkville,Arts and Recreation Services,22
2007,Parkville,Health Care and Social Assistance,3
2007,Port Melbourne,Arts and Recreation Services,5
2007,Port Melbourne,Health Care and Social Assistance,2
2007,Port Melbourne,Retail Trade,19
2007,Southbank,"Electricity, Gas, Water",1
2007,Southbank,Business Services,59
2007,West Melbourne (Industrial),Construction,3
2007,West Melbourne (Industrial),"Electricity, Gas, Water",4
2007,West Melbourne (Industrial),"Electricity, Gas, Water",8
2007,West Melbourne (Residential),Arts and Recreation Services,9
2007,West Melbourne (Residential),Public Administration and Safety,2
2007,West Melbourne (Residential),Retail Trade,48
2006,Carlton,Public Administration and Safety,9
2006,Carlton,Real Estate Services,18
2006,Carlton,Rental and Hiring Services,2
2006,Docklands,Information Media,3
2006,Docklands,Business Services,1
2006,Docklands,"Transport, Postal and Storage",8
2006,Docklands,"Transport, Postal and Storage",4
2006,East Melbourne,Education and Training,10
2006,East Melbourne,Education and Training,5
2006,East Melbourne,Finance and Insurance,1
2006,East Melbourne,Public Administration and Safety,7
2006,North Melbourne,Construction,1
2006,North Melbourne,Other Services,12
2006,North Melbourne,"Transport, Postal and Storage",5
2006,Parkville,Food Catering Services,10
2006,Parkville,Education and Training,6
2006,Parkville,Health Care and Social Assistance,2
2006,Parkville,Health Care and Social Assistance,1
2006,Parkville,Information Media,2
2006,Parkville,Other Services,19
2006,Port Melbourne,Other Services,1
2006,Southbank,Information Media,5
2006,West Melbourne (Industrial),Business Services,3
2006,West Melbourne (Industrial),Wholesale Trade,201
2006,West Melbourne (Residential),Health Care and Social Assistance,4
2006,West Melbourne (Residential),Other Services,5
2006,West Melbourne (Residential),Public Administration and Safety,1
2006,West Melbourne (Residential),Public Administration and Safety,3
2006,West Melbourne (Residential),Retail Trade,3
2005,Carlton,Food and Beverage Services,18
2005,Carlton,Food and Beverage Services,2
2005,Carlton,Admin and Support Services,4
2005,Carlton,Admin and Support Services,1
2005,Carlton,Arts and Recreation Services,17
2005,Carlton,Education and Training,4
2005,Carlton,Real Estate Services,18
2005,Carlton,Wholesale Trade,24
2005,Docklands,Manufacturing,1
2005,Docklands,Business Services,1
2005,Kensington,Wholesale Trade,16
2005,North Melbourne,Business Services,122
2005,North Melbourne,Wholesale Trade,2
2005,Parkville,Arts and Recreation Services,3
2005,Parkville,Education and Training,5
2005,Parkville,Health Care and Social Assistance,5
2005,Port Melbourne,Admin and Support Services,9
2005,Port Melbourne,Arts and Recreation Services,5
2005,Port Melbourne,Information Media,1
2005,Southbank,Finance and Insurance,9
2005,Southbank,Health Care and Social Assistance,2
2005,Southbank,Other Services,41
2005,Southbank,Public Administration and Safety,2
2005,Southbank,Public Administration and Safety,6
2005,Southbank,"Transport, Postal and Storage",1
2005,Southbank,"Transport, Postal and Storage",4
2005,Southbank,Wholesale Trade,19
2005,West Melbourne (Industrial),Construction,4
2005,West Melbourne (Industrial),"Electricity, Gas, Water",7
2005,West Melbourne (Industrial),Finance and Insurance,1
2005,West Melbourne (Industrial),Other Services,2
2005,West Melbourne (Industrial),Business Services,1
2005,West Melbourne (Industrial),Retail Trade,2
2005,West Melbourne (Industrial),"Transport, Postal and Storage",24
2005,West Melbourne (Industrial),Wholesale Trade,201
2005,West Melbourne (Residential),Food Catering Services,1
2005,West Melbourne (Residential),Arts and Recreation Services,1
2005,West Melbourne (Residential),"Electricity, Gas, Water",1
2005,West Melbourne (Residential),Retail Trade,1
2005,West Melbourne (Residential),Retail Trade,49
2004,Carlton,Arts and Recreation Services,1
2004,Carlton,Construction,4
2004,Carlton,Manufacturing,29
2004,Carlton,Other Services,134
2004,Carlton,Retail Trade,4
2004,Docklands,Finance and Insurance,1
2004,Docklands,Finance and Insurance,1
2004,Docklands,Information Media,1
2004,Docklands,Information Media,2
2004,Docklands,"Transport, Postal and Storage",11
2004,East Melbourne,Information Media,1
2004,East Melbourne,Information Media,6
2004,East Melbourne,Other Services,4
2004,Kensington,Admin and Support Services,2
2004,Kensington,Construction,1
2004,Kensington,"Electricity, Gas, Water",5
2004,Kensington,Health Care and Social Assistance,2
2004,Kensington,Rental and Hiring Services,1
2023,Carlton,Arts and Recreation Services,5
2023,Carlton,Education and Training,38
2023,Carlton,"Electricity, Gas, Water",14
2023,Carlton,Manufacturing,17
2023,Docklands,Food Catering Services,3
2023,East Melbourne,Food Catering Services,1
2023,East Melbourne,Admin and Support Services,3
2023,East Melbourne,Information Media,2
2023,East Melbourne,Other Services,22
2023,Kensington,Health Care and Social Assistance,8
2023,Melbourne (CBD),Food Catering Services,7
2023,Melbourne (CBD),Admin and Support Services,3
2023,Melbourne (CBD),Arts and Recreation Services,36
2023,Melbourne (CBD),Construction,37
2023,Melbourne (CBD),Education and Training,204
2023,Melbourne (CBD),"Electricity, Gas, Water",15
2023,Melbourne (CBD),Finance and Insurance,34
2023,Melbourne (CBD),Health Care and Social Assistance,1
2023,Melbourne (CBD),Information Media,33
2023,Melbourne (CBD),Public Administration and Safety,51
2023,Melbourne (CBD),Real Estate Services,5
2023,Melbourne (CBD),Rental and Hiring Services,9
2023,Melbourne (Remainder),Food and Beverage Services,5
2023,Melbourne (Remainder),Food and Beverage Services,36
2023,Melbourne (Remainder),Other Services,7
2023,North Melbourne,Arts and Recreation Services,1
2023,North Melbourne,Real Estate Services,1
2023,North Melbourne,Real Estate Services,15
2023,North Melbourne,Rental and Hiring Services,4
2023,North Melbourne,Retail Trade,5
2023,North Melbourne,Retail Trade,71
2023,North Melbourne,Wholesale Trade,1
2023,Parkville,Education and Training,4
2023,Parkville,Other Services,7
2023,Parkville,Public Administration and Safety,1
2023,Parkville,Retail Trade,13
2023,Parkville,"Transport, Postal and Storage",2
2023,Parkville,Wholesale Trade,1
2023,Port Melbourne,Food and Beverage Services,15
2023,Port Melbourne,Food Catering Services,1
2023,Port Melbourne,Education and Training,4
2023,Port Melbourne,Finance and Insurance,5
2023,Port Melbourne,Manufacturing,53
2023,Port Melbourne,Rental and Hiring Services,1
2023,Port Melbourne,Real Estate Services,5
2023,South Yarra,Food and Beverage Services,4
2023,South Yarra,Education and Training,6
2023,South Yarra,Education and Training,3
2023,Southbank,Other Services,15
2023,Southbank,Real Estate Services,1
2023,Southbank,Real Estate Services,1
2023,West Melbourne (Industrial),Admin and Support Services,1
2012,Melbourne (CBD),Other Services,64
2012,Melbourne (CBD),Public Administration and Safety,55
2012,Melbourne (Remainder),Food Catering Services,1
2012,Melbourne (Remainder),Finance and Insurance,29
2012,Melbourne (Remainder),Retail Trade,1
2012,North Melbourne,Food Catering Services,5
2012,North Melbourne,Other Services,10
2012,Parkville,Manufacturing,1
2012,Port Melbourne,Food and Beverage Services,14
2012,Port Melbourne,"Transport, Postal and Storage",9
2012,Port Melbourne,"Transport, Postal and Storage",4
2012,Port Melbourne,Wholesale Trade,3
2012,South Yarra,Health Care and Social Assistance,2
2012,Southbank,Food Catering Services,2
2012,Southbank,Food Catering Services,8
2012,Southbank,Admin and Support Services,17
2012,Southbank,Real Estate Services,2
2012,West Melbourne (Industrial),Arts and Recreation Services,3
2012,West Melbourne (Industrial),Manufacturing,5
2012,West Melbourne (Industrial),Public Administration and Safety,2
2012,West Melbourne (Residential),Arts and Recreation Services,6
2012,West Melbourne (Residential),Education and Training,1
2012,West Melbourne (Residential),Business Services,3
2012,West Melbourne (Residential),Retail Trade,41
2012,West Melbourne (Residential),"Transport, Postal and Storage",18
2011,Carlton,Manufacturing,32
2011,Docklands,Arts and Recreation Services,1
2011,Docklands,Education and Training,4
2011,Docklands,Agriculture and Mining,2
2011,Docklands,Other Services,14
2011,East Melbourne,Food and Beverage Services,1
2011,East Melbourne,Construction,5
2011,East Melbourne,"Electricity, Gas, Water",1
2011,East Melbourne,Health Care and Social Assistance,197
2011,East Melbourne,Rental and Hiring Services,1
2011,East Melbourne,Retail Trade,1
2011,Kensington,Arts and Recreation Services,2
2011,Kensington,Agriculture and Mining,1
2011,Kensington,"Transport, Postal and Storage",2
2011,Melbourne (CBD),"Electricity, Gas, Water",7
2011,Melbourne (CBD),Real Estate Services,28
2011,Melbourne (Remainder),Admin and Support Services,1
2011,Melbourne (Remainder),Finance and Insurance,29
2011,Melbourne (Remainder),Agriculture and Mining,1
2011,Melbourne (Remainder),Other Services,10
2011,North Melbourne,Health Care and Social Assistance,2
2011,North Melbourne,Other Services,128
2011,Parkville,Arts and Recreation Services,23
2011,Parkville,Health Care and Social Assistance,6
2011,Parkville,Manufacturing,1
2011,Port Melbourne,Rental and Hiring Services,1
2011,South Yarra,Education and Training,5
2011,Southbank,Food and Beverage Services,17
2011,Southbank,Public Administration and Safety,7
2011,Southbank,Rental and Hiring Services,1
2011,West Melbourne (Industrial),Construction,2
2011,West Melbourne (Residential),Food and Beverage Services,1
2011,West Melbourne (Residential),Health Care and Social Assistance,9
2011,West Melbourne (Residential),Real Estate Services,1
2010,Carlton,Information Media,6
2010,Carlton,Business Services,12
2010,Carlton,Retail Trade,4
2010,Docklands,Retail Trade,277
2010,Docklands,"Transport, Postal and Storage",4
2010,Docklands,Wholesale Trade,8
2010,East Melbourne,Food and Beverage Services,1
2010,East Melbourne,Retail Trade,1
2010,Kensington,Retail Trade,2
2010,Melbourne (CBD),Other Services,34
2010,Melbourne (CBD),"Transport, Postal and Storage",55
2010,Melbourne (Remainder),Admin and Support Services,1
2010,Melbourne (Remainder),Information Media,3
2010,Melbourne (Remainder),Manufacturing,9
2010,Melbourne (Remainder),Public Administration and Safety,3
2010,North Melbourne,Construction,7
2010,North Melbourne,Public Administration and Safety,4
2010,North Melbourne,Rental and Hiring Services,1
2010,North Melbourne,"Transport, Postal and Storage",6
2010,Parkville,Food Catering Services,9
2010,Parkville,Manufacturing,3
2008,Melbourne (Remainder),Food and Beverage Services,1
2008,Melbourne (Remainder),Business Services,60
2008,Melbourne (Remainder),Wholesale Trade,6
2008,North Melbourne,Food and Beverage Services,4
2008,North Melbourne,Construction,1
2008,North Melbourne,"Electricity, Gas, Water",1
2008,Parkville,Food and Beverage Services,5
2008,Parkville,Information Media,3
2008,Parkville,Business Services,1
2008,Port Melbourne,Information Media,3
2008,Port Melbourne,Real Estate Services,1
2008,Southbank,Wholesale Trade,11
2008,West Melbourne (Industrial),Finance and Insurance,1
2008,West Melbourne (Industrial),Manufacturing,1
2023,Carlton,Food Catering Services,34
2023,Carlton,Construction,2
2023,Carlton,Education and Training,31
2023,Carlton,Health Care and Social Assistance,16
2023,Carlton,Information Media,6
2023,Carlton,Other Services,1
2023,Carlton,Business Services,79
2023,Docklands,Agriculture and Mining,1
2023,Docklands,Arts and Recreation Services,4
2023,Docklands,Arts and Recreation Services,27
2023,Docklands,Information Media,5
2023,Docklands,Other Services,54
2023,Docklands,Business Services,22
2023,Docklands,Public Administration and Safety,9
2023,Docklands,"Transport, Postal and Storage",3
2023,Docklands,"Transport, Postal and Storage",16
2023,Docklands,Wholesale Trade,17
2023,East Melbourne,Arts and Recreation Services,2
2023,East Melbourne,"Electricity, Gas, Water",1
2023,East Melbourne,Other Services,8
2023,East Melbourne,Business Services,1
2023,East Melbourne,Public Administration and Safety,2
2023,East Melbourne,Real Estate Services,6
2023,Kensington,Food and Beverage Services,1
2023,Kensington,Food and Beverage Services,50
2023,Kensington,Arts and Recreation Services,12
2023,Kensington,Arts and Recreation Services,10
2023,Kensington,Construction,3
2023,Kensington,Other Services,29
2023,Kensington,Real Estate Services,1
2023,Kensington,Wholesale Trade,3
2023,Melbourne (CBD),Agriculture and Mining,1
2023,Melbourne (CBD),Education and Training,4
2023,Melbourne (CBD),Health Care and Social Assistance,292
2023,Melbourne (CBD),Manufacturing,1
2023,Melbourne (CBD),Other Services,682
2023,Melbourne (CBD),Business Services,46
2023,Melbourne (CBD),Retail Trade,83
2023,Melbourne (Remainder),Food and Beverage Services,5
2023,Melbourne (Remainder),Arts and Recreation Services,23
2023,Melbourne (Remainder),Construction,2
2023,Melbourne (Remainder),Finance and Insurance,6
2023,Melbourne (Remainder),Information Media,1
2023,Melbourne (Remainder),Business Services,6
2023,Melbourne (Remainder),Real Estate Services,7
2023,North Melbourne,Agriculture and Mining,1
2023,North Melbourne,Construction,9
2023,North Melbourne,Finance and Insurance,1
2023,North Melbourne,Health Care and Social Assistance,16
2023,North Melbourne,Information Media,2
2023,North Melbourne,Other Services,15
2023,North Melbourne,Public Administration and Safety,2
2023,North Melbourne,Wholesale Trade,35
2023,Parkville,Food Catering Services,4
2023,Port Melbourne,Admin and Support Services,1
2023,Port Melbourne,Agriculture and Mining,1
2023,Port Melbourne,Education and Training,1
2023,Port Melbourne,Health Care and Social Assistance,4
2023,Port Melbourne,Business Services,1
2023,Port Melbourne,Public Administration and Safety,1
2023,Port Melbourne,Wholesale Trade,1
2023,South Yarra,Food and Beverage Services,5
2023,South Yarra,Food Catering Services,2
2023,Southbank,Food Catering Services,3
2023,Southbank,Arts and Recreation Services,6
2023,Southbank,Arts and Recreation Services,15
2023,Southbank,Education and Training,1
2023,Southbank,Health Care and Social Assistance,24
2023,Southbank,Information Media,9
2023,Southbank,Public Administration and Safety,1
2023,Southbank,Real Estate Services,19
2023,Southbank,Retail Trade,1
2023,Southbank,Retail Trade,1
2023,West Melbourne (Industrial),Wholesale Trade,22
2023,West Melbourne (Residential),Admin and Support Services,3
2023,West Melbourne (Residential),Construction,5
2023,West Melbourne (Residential),Construction,10
2023,West Melbourne (Residential),Education and Training,1
2023,West Melbourne (Residential),Health Care and Social Assistance,2
2023,West Melbourne (Residential),Health Care and Social Assistance,2
2023,West Melbourne (Residential),Other Services,4
2022,Carlton,Admin and Support Services,11
2022,Carlton,Arts and Recreation Services,1
2022,Carlton,Health Care and Social Assistance,1
2022,Carlton,Other Services,82
2022,Carlton,Wholesale Trade,2
2022,Docklands,Admin and Support Services,5
2022,Docklands,Admin and Support Services,15
2022,Docklands,"Electricity, Gas, Water",4
2022,Docklands,Manufacturing,3
2022,Docklands,Agriculture and Mining,2
2022,Docklands,Real Estate Services,47
2022,East Melbourne,Arts and Recreation Services,7
2022,East Melbourne,Construction,1
2022,East Melbourne,Health Care and Social Assistance,1
2022,East Melbourne,Public Administration and Safety,11
2022,East Melbourne,Public Administration and Safety,4
2022,Kensington,Food and Beverage Services,5
2022,Melbourne (CBD),Food and Beverage Services,1234
2022,Melbourne (CBD),Arts and Recreation Services,3
2022,Melbourne (CBD),Construction,6
2022,Melbourne (CBD),Finance and Insurance,177
2022,Melbourne (CBD),Health Care and Social Assistance,292
2022,Melbourne (CBD),Other Services,2
2022,Melbourne (CBD),Public Administration and Safety,43
2022,Melbourne (Remainder),Finance and Insurance,13
2022,Melbourne (Remainder),Wholesale Trade,1
2022,North Melbourne,Agriculture and Mining,2
2022,North Melbourne,Education and Training,10
2022,North Melbourne,Finance and Insurance,2
2022,North Melbourne,Real Estate Services,1
2022,North Melbourne,Wholesale Trade,3
2022,Parkville,Business Services,1
2022,Parkville,"Transport, Postal and Storage",2
2022,Port Melbourne,Admin and Support Services,16
2022,Port Melbourne,Education and Training,2
2022,Port Melbourne,Information Media,7
2022,Port Melbourne,Rental and Hiring Services,9
2022,South Yarra,Other Services,7
2022,Southbank,Food and Beverage Services,61
2022,Southbank,Arts and Recreation Services,16
2022,Southbank,Construction,11
2022,Southbank,Construction,1
2022,Southbank,"Electricity, Gas, Water",1
2022,Southbank,Finance and Insurance,17
2022,Southbank,Health Care and Social Assistance,20
2022,Southbank,Manufacturing,6
2022,Southbank,Public Administration and Safety,1
2022,West Melbourne (Industrial),Food and Beverage Services,3
2022,West Melbourne (Industrial),Admin and Support Services,2
2022,West Melbourne (Industrial),Arts and Recreation Services,7
2022,West Melbourne (Industrial),Arts and Recreation Services,1
2022,West Melbourne (Industrial),"Transport, Postal and Storage",15
2022,West Melbourne (Industrial),Wholesale Trade,24
2022,West Melbourne (Residential),Food Catering Services,3
2022,West Melbourne (Residential),"Electricity, Gas, Water",8
2022,West Melbourne (Residential),Finance and Insurance,2
2022,West Melbourne (Residential),Other Services,5
2022,West Melbourne (Residential),Public Administration and Safety,1
2021,Carlton,Admin and Support Services,1
2021,Carlton,Health Care and Social Assistance,16
2021,Docklands,Education and Training,14
2021,Docklands,Other Services,42
2021,East Melbourne,"Electricity, Gas, Water",7
2021,North Melbourne,Other Services,12
2021,North Melbourne,Wholesale Trade,37
2021,Parkville,Finance and Insurance,7
2021,Parkville,Health Care and Social Assistance,61
2021,Port Melbourne,Education and Training,6
2021,Port Melbourne,Information Media,7
2021,Port Melbourne,Public Administration and Safety,2
2021,South Yarra,Food and Beverage Services,7
2021,South Yarra,Health Care and Social Assistance,1
2021,Southbank,Admin and Support Services,10
2021,Southbank,Construction,1
2021,Southbank,Rental and Hiring Services,1
2021,West Melbourne (Industrial),Arts and Recreation Services,1
2021,West Melbourne (Residential),Food and Beverage Services,2
2021,West Melbourne (Residential),"Electricity, Gas, Water",10
2021,West Melbourne (Residential),Other Services,34
2020,Carlton,Admin and Support Services,16
2020,Carlton,Finance and Insurance,20
2020,Docklands,Admin and Support Services,1
2020,Docklands,"Electricity, Gas, Water",3
2020,Docklands,Business Services,14
2020,East Melbourne,Arts and Recreation Services,7
2020,East Melbourne,Construction,2
2020,East Melbourne,"Electricity, Gas, Water",7
2020,East Melbourne,Information Media,4
2020,Kensington,Food Catering Services,1
2020,Kensington,Other Services,35
2020,Melbourne (CBD),Food and Beverage Services,21
2020,Melbourne (CBD),Admin and Support Services,3
2020,Melbourne (CBD),Health Care and Social Assistance,43
2020,Melbourne (CBD),Rental and Hiring Services,1
2020,Melbourne (Remainder),Food and Beverage Services,5
2020,Melbourne (Remainder),Finance and Insurance,2
2020,Melbourne (Remainder),Other Services,1
2020,Melbourne (Remainder),Business Services,5
2020,North Melbourne,Business Services,17
2020,North Melbourne,Wholesale Trade,2
2020,North Melbourne,Wholesale Trade,37
2020,Parkville,Food Catering Services,1
2020,Parkville,Other Services,11
2020,Parkville,"Transport, Postal and Storage",2
2020,Port Melbourne,Food and Beverage Services,5
2020,Port Melbourne,Arts and Recreation Services,5
2020,Port Melbourne,Education and Training,8
2020,Port Melbourne,Health Care and Social Assistance,5
2020,Port Melbourne,Business Services,54
2020,Port Melbourne,"Transport, Postal and Storage",15
2020,Port Melbourne,Wholesale Trade,14
2020,Port Melbourne,Wholesale Trade,43
2020,Southbank,"Electricity, Gas, Water",4
2019,West Melbourne (Residential),Admin and Support Services,10
2019,West Melbourne (Residential),Construction,4
2019,West Melbourne (Residential),"Transport, Postal and Storage",1
2018,Carlton,Construction,2
2018,Carlton,Health Care and Social Assistance,4
2018,Carlton,Manufacturing,20
2018,Carlton,Real Estate Services,23
2018,Docklands,Food and Beverage Services,242
2018,Docklands,Construction,1
2018,Docklands,Construction,16
2018,Docklands,Finance and Insurance,5
2018,Docklands,Wholesale Trade,2
2018,East Melbourne,Food Catering Services,9
2018,East Melbourne,Food and Beverage Services,43
2018,Kensington,Information Media,5
2018,Kensington,Business Services,1
2018,Kensington,"Transport, Postal and Storage",2
2018,Melbourne (CBD),Arts and Recreation Services,125
2018,Melbourne (CBD),Education and Training,229
2018,Melbourne (CBD),Information Media,14
2018,Melbourne (CBD),Public Administration and Safety,73
2018,Melbourne (CBD),Retail Trade,3
2018,Melbourne (Remainder),Education and Training,3
2018,Melbourne (Remainder),Education and Training,6
2018,Melbourne (Remainder),Other Services,13
2018,North Melbourne,Construction,9
2018,North Melbourne,Information Media,2
2018,North Melbourne,Retail Trade,5
2018,Parkville,Admin and Support Services,2
2018,Parkville,"Electricity, Gas, Water",5
2018,Parkville,Business Services,11
2018,Port Melbourne,Agriculture and Mining,1
2018,Port Melbourne,"Electricity, Gas, Water",1
2018,Southbank,Finance and Insurance,16
2018,Southbank,Health Care and Social Assistance,1
2018,Southbank,Agriculture and Mining,2
2018,Southbank,Public Administration and Safety,1
2018,Southbank,Retail Trade,1
2018,West Melbourne (Industrial),Real Estate Services,1
2018,West Melbourne (Industrial),"Transport, Postal and Storage",20
2018,West Melbourne (Residential),Food Catering Services,1
2018,West Melbourne (Residential),Food Catering Services,3
2018,West Melbourne (Residential),Public Administration and Safety,1
2018,West Melbourne (Residential),Public Administration and Safety,1
2017,Carlton,Food and Beverage Services,13
2017,Carlton,Arts and Recreation Services,1
2017,Carlton,Wholesale Trade,1
2017,Docklands,Agriculture and Mining,1
2017,Docklands,Business Services,5
2017,Docklands,"Transport, Postal and Storage",6
2017,Docklands,"Transport, Postal and Storage",3
2017,East Melbourne,Food Catering Services,2
2017,East Melbourne,Food and Beverage Services,1
2017,East Melbourne,Health Care and Social Assistance,6
2017,East Melbourne,Health Care and Social Assistance,204
2017,East Melbourne,Public Administration and Safety,10
2017,East Melbourne,Public Administration and Safety,1
2017,Kensington,Food Catering Services,1
2017,Kensington,Arts and Recreation Services,1
2017,Kensington,Manufacturing,4
2017,Kensington,Other Services,37
2017,Kensington,Public Administration and Safety,2
2017,Kensington,Public Administration and Safety,3
2017,Kensington,Rental and Hiring Services,1
2017,Kensington,Wholesale Trade,2
2017,Melbourne (CBD),Admin and Support Services,7
2017,Melbourne (CBD),Admin and Support Services,85
2017,Melbourne (CBD),Admin and Support Services,3
