name,rankingPosition,priceLevel,category,rating,address,numberOfReviews,cuisine,priceLevelNumeric
Rice Paper,192,$,restaurant,4.7,"245 Swanston St, Melbourne, Victoria 3000 Australia",287,Australian,1
Papa Gino's Pizza Restaurant,209,$$ - $$$,restaurant,4.02,"Lygon Street Carlton, Melbourne, Victoria 3053 Australia",465,Italian,2
Encore Bar and Restaurant,210,$$ - $$$,restaurant,4.7,"131 Lonsdale St, Melbourne, Victoria 3000 Australia",135,Café,3
The Jazz Corner Cafe,203,$$ - $$$,restaurant,3.35,"350 William St located within The Jazz Corner Hotel - lobby cafe and mezzanine restaurant, Melbourne, Victoria 3000 Australia",305,Café,3
Hutong Dumpling Bar,153,$$ - $$$,restaurant,3.3,"14-16 Market Lane, Melbourne, Victoria 3000 Australia",766,Chinese,2
Giro d'Italia,74,$$ - $$$,restaurant,4.44,"401 Saint Kida Road, Melbourne, Victoria 3000 Australia",84,Thai,2
Il Duca,157,$$ - $$$,restaurant,4.5,"132 Wellington Pde, Melbourne, Victoria 3002 Australia",242,Indian,2
Merchant,182,$$ - $$$,restaurant,3.33,"495 Collins St, Melbourne, Victoria 3000 Australia",331,Indian,2
Richmond Oyster,6,$$ - $$$,restaurant,3.68,"437 Church St, Richmond, Yarra, Victoria 3121 Australia",326,Seafood,2
Marion Wine Bar,8,$$ - $$$,restaurant,4.56,"53 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",145,Seafood,2
Mitre Tavern Steakhouse & Grill,151,$$ - $$$,restaurant,4.56,"5 Bank Pl Level 1, Melbourne, Victoria 3000 Australia",424,American,2
Naked for Satan,5,$$ - $$$,restaurant,3.51,"285 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",1244,Café,2
Chez Dre Cafe,229,$$ - $$$,restaurant,4.47,"Rear of 285/287 Coventry St Access Via Alleyway, Melbourne, Victoria 3205 Australia",386,Café,2
Pier Port Melbourne,220,$$ - $$$,restaurant,3.9,"1 Bay St, Melbourne, Victoria 3207 Australia",189,Middle Eastern,3
Little Ramen Bar,236,$,restaurant,4.21,"369 Little Collins St, Melbourne, Victoria 3000 Australia",173,Japanese,1
Red Pepper Indian Restaurant,254,$$ - $$$,restaurant,4.3,"14 Bourke St, Melbourne, Victoria 3000 Australia",408,Indian,2
Pacinos Italian Family Restaurant,1,$$ - $$$,restaurant,4.7,"300 Epsom Rd 300-320 Epsom Road, Ascot Vale, Moonee Valley, Victoria 3031 Australia",240,Italian,3
Angus & Bon,1,$$ - $$$,restaurant,4.48,"168 Greville Street, Prahran, Stonnington, Victoria 3181 Australia",168,Thai,3
Miyako Japanese Cuisine & Teppanyaki,250,$$ - $$$,restaurant,3.46,"3 Southgate Ave Upper Level, Shop UR2, Southgate Arts & Leisure Precinct, Melbourne, Victoria 3006 Australia",323,Japanese,2
Nirankar Restaurant,248,$$ - $$$,restaurant,4.9,"174-176 Queen St, Melbourne, Victoria 3000 Australia",189,Australian,2
BearBrass,252,$$ - $$$,restaurant,4.14,"Shop GR3A 3 Southgate Ave Southbank VIC, Melbourne, Victoria 3006 Australia",625,Greek,3
3 Brothersss Indian Restaurant,228,$$ - $$$,restaurant,4.8,"513 Elizabeth St Queen Victoria Market, Melbourne, Victoria 3000 Australia",41,Indian,2
Cherry & Twigs,233,$,restaurant,3.53,"Shop 1B 555 Flinders Lane, Melbourne, Victoria 3000 Australia",135,Greek,1
Shujinko,261,$,restaurant,3.89,"225 Russell St, Melbourne, Victoria 3000 Australia",142,Indian,1
Aagaman Indian Nepalese Restaurant,262,$$ - $$$,restaurant,4.5,"271 Bay St, Melbourne, Victoria 3207 Australia",132,Indian,2
Kisume,234,$$$$,restaurant,3.86,"175 Flinders Lane, Melbourne, Victoria 3000 Australia",399,Australian,4
Cafe Andiamo,226,$$ - $$$,restaurant,3.1,"36-38 Degraves Lane, Melbourne, Victoria 3000 Australia",553,Café,3
Simply Spanish QVM,215,$$ - $$$,restaurant,4.2,"513 Elizabeth St, Melbourne, Victoria 3000 Australia",210,French,2
The Deck Restaurant,216,$$ - $$$,restaurant,3.48,"Upper Level Southgate Southgate Centre, Southgate Arts & Leisure Complex/3, Melbourne, Victoria 3006 Australia",284,Café,2
Bangkok Jam,205,$$ - $$$,restaurant,3.78,"107 Little Bourke St, Melbourne, Victoria 3000 Australia",100,Italian,3
Teatro,206,$$ - $$$,restaurant,3.34,"Southbank Promenade Tenancy A Hamer Hall, Melbourne, Victoria 3006 Australia",510,Dessert,3
Meatmaiden,204,$$ - $$$,restaurant,4.14,"195 Little Collins St Basement, Melbourne, Victoria 3000 Australia",344,French,2
Betty's Burgers,185,$$ - $$$,restaurant,4.5,"222 Exhibition St, Melbourne, Victoria 3000 Australia",86,American,2
China Red,181,$$ - $$$,restaurant,3.96,"Shop 6 206 Bourke St, Melbourne, Victoria 3000 Australia",353,Chinese,2
SPQR Pizzeria,197,$$ - $$$,restaurant,4.29,"26 Liverpool Street, Melbourne 3000, Melbourne, Victoria 3000 Australia",194,Korean,2
The Atlantic Restaurant,207,$$$$,restaurant,3.67,"Crown Entertainment Complex 8 Whiteman St Crown Entertainment Complex, Melbourne, Victoria 3006 Australia",1570,Italian,4
Rockpool Bar & Grill,189,$$$$,restaurant,4.16,"Crown Complex Southbank, Melbourne, Victoria 3006 Australia",1961,American,4
Rubiras,174,$$ - $$$,restaurant,4.14,"192 Station St Swallows Hotel, Melbourne, Victoria 3207 Australia",218,Seafood,2
Metro Burger,100,$,restaurant,4.21,"12 Degraves St, Melbourne, Victoria 3000 Australia",146,American,1
Dunyazad,235,$$ - $$$,restaurant,4.3,"329 Doncaster Rd, Balwyn North, Boorandara, Melbourne, Victoria VIC 3104 Australia",171,Café,3
Bar Lourinha,172,$$ - $$$,restaurant,4.14,"37 Little Collins St, Melbourne, Victoria 3000 Australia",284,Middle Eastern,3
Chin Chin,162,$$ - $$$,restaurant,4.2,"125 Flinders Lane, Melbourne, Victoria 3000 Australia",6029,Thai,3
Izakaya Den,173,$$ - $$$,restaurant,4.5,"Basement 118 Russell St, Melbourne, Victoria 3000 Australia",258,Japanese,2
Matteo's,1,$$$$,restaurant,4.43,"533 Brunswick St Melbourne, North Fitzroy, Yarra, Victoria 3068 Australia",378,Thai,4
Humble Rays,267,$$ - $$$,restaurant,3.92,"71 Bouverie St Carlton, Melbourne, Victoria 3053 Australia",88,American,2
Smith and Daughters,9,$$ - $$$,restaurant,4.51,"175 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",388,American,2
Hophaus Bar,251,$$ - $$$,restaurant,4.38,"Southgate Ave Shop MR5, Mid-Level, Southbank Promenade, Melbourne, Victoria 3006 Australia",471,French,3
Hunky Dory,240,$,restaurant,4.6,"670 Chapel Street Shop 17, Melbourne, Victoria 3205 Australia",245,American,1
Waiters Restaurant - Italian Waiters Club,183,$$ - $$$,restaurant,4.7,"20 Meyers Pl, Melbourne, Victoria 3000 Australia",282,Dessert,2
Gopal's Vegetarian,242,$,restaurant,4.7,"139 Swanston St, Melbourne, Victoria 3000 Australia",170,American,1
Sushi Hub Swanston,196,$,restaurant,4.33,"55 Swanston St, Melbourne, Victoria 3000 Australia",191,Japanese,1
Spaghetti Tree,171,$$ - $$$,restaurant,4.38,"59 Bourke St, Melbourne, Victoria 3000 Australia",786,Mexican,2
Arbory Bar & Eatery,194,$$ - $$$,restaurant,4.35,"Flinders Walk, Melbourne, Victoria 3000 Australia",827,Café,2
La Spaghettata,163,$$ - $$$,restaurant,4.6,"238 Lygon St, Melbourne, Victoria 3053 Australia",536,Italian,2
Triim Food & Drink,259,$$ - $$$,restaurant,4.55,"33 Hardware Lane, Melbourne, Victoria 3000 Australia",224,Australian,2
Gourmet Curry Hut,247,$$ - $$$,restaurant,4.26,"318 Hub Arcade Little Collins Street, Melbourne, Victoria 3000 Australia",175,Indian,2
Little Billy,258,$$ - $$$,restaurant,4.15,"Shop W2 195 William St, Melbourne, Victoria 3000 Australia",162,Japanese,3
Thirty Eight Chairs,23,$$ - $$$,restaurant,4.4,"4A Bond St, Yarra, Victoria 3141 Australia",283,Italian,2
The Fitz Cafe & Rooftop,11,$$ - $$$,restaurant,4.67,"347 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",257,Café,3
Restaurant 1903,245,$$ - $$$,restaurant,3.74,"44 Spencer St Very Close to Southern Cross Railway Station, Melbourne, Victoria 3000 Australia",155,Dessert,2
Universal Restaurant,257,$$ - $$$,restaurant,4.4,"141 Lygon Street Carlton, Melbourne, Victoria 3053 Australia",363,Japanese,2
Pho Bo Ga Mekong,269,$,restaurant,3.03,"241 Swanston St, Melbourne, Victoria 3000 Australia",448,Vietnamese,1
Gradi Crown,246,$$ - $$$,restaurant,3.9,"Crown Entertainment Complex 8 Whiteman St Shop 25, Melbourne, Victoria 3006 Australia",1093,Australian,3
Pinchy's,198,$$ - $$$,restaurant,4.64,"Level 1, 200 Bourke St Midcity Arcade, Melbourne, Victoria 3000 Australia",146,Korean,3
Agathe Patisserie,213,$,restaurant,4.54,"64/362 Coventry Street South Melbourne Market Stall, Melbourne, Victoria 3205 Australia",73,Mexican,1
Claypots Barbarossa,237,$$ - $$$,restaurant,4.7,"79 Hardware Lane Melbourne CBD, Melbourne, Victoria 3000 Australia",190,Greek,3
Seedling Cafe,238,$$ - $$$,restaurant,4.14,"349 Little Collins St, Melbourne, Victoria 3000 Australia",75,Café,3
Vespa Rossa,244,$$ - $$$,restaurant,4.63,"30 Block Pl, Melbourne, Victoria 3000 Australia",122,Middle Eastern,3
Ides,170,$$$$,restaurant,4.04,"92 Smith St, Melbourne, Victoria 3066 Australia",129,Middle Eastern,4
Uncle Collins Street,291,$$ - $$$,restaurant,4.6,"15 Collins St Level 1, Melbourne, Victoria 3000 Australia",81,American,2
Mr. Hive,289,$$ - $$$,restaurant,3.93,"Level 1, Crown Metropol 8 Whiteman Street, Melbourne, Victoria Australia",456,French,2
Sosta Ristorante,283,$$ - $$$,restaurant,4.69,"12 Errol Street, Melbourne, Victoria 3051 Australia",183,Italian,2
Gordon's Cafe & Bar,292,$$ - $$$,restaurant,3.0,"306 Little Collins St Shop 4, Melbourne, Victoria 3000 Australia",147,Café,2
Isan Soul Thai Street Food,265,$$ - $$$,restaurant,3.83,"98 Bourke St, Melbourne, Victoria 3000 Australia",89,Thai,2
Oriental Spoon,295,$$ - $$$,restaurant,4.0,"254 La Trobe St, Melbourne, Victoria 3000 Australia",217,Chinese,2
Oak & Vine,276,$$ - $$$,restaurant,3.83,"60 Market St, Melbourne, Victoria 3000 Australia",108,Greek,3
The Bond Store,280,$$ - $$$,restaurant,4.23,"1 Riverside Qy, Melbourne, Victoria 3006 Australia",154,Vietnamese,2
Transformer Fitzroy,12,$$ - $$$,restaurant,4.7,"99 Rose Street, Fitzroy, Yarra, Victoria 3065 Australia",285,Australian,3
Windows Restaurant,272,$$ - $$$,restaurant,3.0,"65 Queens Rd, Melbourne, Victoria 3004 Australia",208,Seafood,2
Code Black,3,$$ - $$$,restaurant,4.03,"15-17 Weston St, Brunswick, Moreland, Victoria 3056 Australia",187,Australian,2
Grill'd Degraves St,263,$,restaurant,4.34,"15 Degraves St, Melbourne, Victoria 3000 Australia",219,American,1
Bistro Gitan,2,$$ - $$$,restaurant,4.7,"52 Toorak Rd West, South Yarra, Victoria 3141 Australia",268,French,3
Topolino's,12,$$ - $$$,restaurant,4.7,"87 Fitzroy St, St Kilda, Port Phillip, Victoria 3182 Australia",386,Vietnamese,3
Kirks Wine Bar,243,$$ - $$$,restaurant,4.0,"Cnr Hardware Lane and Little Bourke, Melbourne, Victoria 3000 Australia",217,Café,2
Saporito Taquito,264,$$ - $$$,restaurant,4.1,"163 Inkerman St Unit 211, Melbourne, Victoria 3182 Australia",96,Middle Eastern,3
Esca Grill,1,$$$$,restaurant,4.7,"650 Mt Alexander Rd, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",345,American,4
ShanDong MaMa,271,$,restaurant,4.63,"200 Bourke St Mid City Centre, Shop 7, Melbourne, Victoria 3000 Australia",220,French,1
Simply Spanish,222,$$ - $$$,restaurant,3.4,"116 Cecil St, Melbourne, Victoria 3205 Australia",251,American,2
Milk the Cow,161,$$ - $$$,restaurant,4.67,"323 Lygon St, Melbourne, Victoria 3053 Australia",152,Café,2
Bluetrain,268,$$ - $$$,restaurant,3.0,"Southgate Complex, Upper Level, Melbourne, Victoria 3006 Australia",667,Korean,3
Peko Peko,223,$,restaurant,4.3,"190 Wells St, Melbourne, Victoria 3205 Australia",208,Vietnamese,1
Republica,11,$$ - $$$,restaurant,3.93,"10-18 Jacka Boulevard St. Kilda Sea Baths, St Kilda, Port Phillip, Victoria 3182 Australia",492,Australian,2
Tsindos-The Greeks Restaurant,88,$$ - $$$,restaurant,4.09,"197 Lonsdale St, Melbourne, Victoria 3000 Australia",718,Greek,2
Tulum Restaurant,281,$$ - $$$,restaurant,4.1,"217 Carlisle Street, Balaclava Near the Balaclava train station, Melbourne, Victoria 2575 Australia",167,Japanese,3
Melbourne Hwaro Korean Barbecue,285,$$ - $$$,restaurant,4.29,"Level Ground 562 Little Bourke St, Melbourne, Victoria 3000 Australia",141,Korean,2
Journeyman,3,$$ - $$$,restaurant,4.36,"169 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",203,Café,2
Square & Compass,290,$$ - $$$,restaurant,3.64,"222 Clarendon Street, Melbourne, Victoria Australia",113,Australian,2
Amaru Melbourne Restaurant,1,$$$$,restaurant,4.3,"Shop 5 1121 High St, Armadale, Stonnington, Victoria 3143 Australia",118,Seafood,4
Don Don Japanese,274,$,restaurant,4.8,"198 Little Lonsdale St, Melbourne, Victoria 3000 Australia",241,Japanese,1
Beer DeLuxe,277,$$ - $$$,restaurant,3.87,"Federation Square Corner Swanston and Flinders Streets, Melbourne, Victoria 3000 Australia",304,Seafood,3
Grill'd QV,309,$$ - $$$,restaurant,4.29,"Level 2, Queen Victoria Square, Melbourne, Victoria 3000 Australia",235,American,2
Rumi Brunswick,1,$$ - $$$,restaurant,4.5,"116 Lygon St, Brunswick East, Moreland, Victoria 3057 Australia",265,Italian,3
Abbey Road Cafe,10,$$ - $$$,restaurant,3.75,"129-131 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",805,Café,2
Spicy Korea,296,$,restaurant,3.82,"U 1 601 Little Collins St, Melbourne, Victoria 3000 Australia",72,Greek,1
The Meat & Wine Co Hawthorn East,3,$$ - $$$,restaurant,4.9,"482 Riversdale Rd, Hawthorn, Boroondara, Victoria 3123 Australia",417,American,2
Nine Elephants,279,$$ - $$$,restaurant,4.7,"67 Village St Docklands, Melbourne, Victoria 3008 Australia",145,Seafood,2
Little Black Pig & Sons,1,$$ - $$$,restaurant,4.7,"48 Burgundy St, Heidelberg, Banyule, Victoria 3084 Australia",196,American,3
GRK Greek Kitchen & Bar,1,$$ - $$$,restaurant,3.81,"845/847 High St, Thornbury, Darebin, Victoria 3071 Australia",115,Greek,2
The Boatbuilders Yard,211,$$ - $$$,restaurant,4.5,"23 South Wharf Prom, Melbourne, Victoria 3006 Australia",680,Italian,2
La Petite Creperie,294,$,restaurant,4.6,"125 Swanston St Opposite Melbourne Town Hall, Melbourne, Victoria Australia",155,Japanese,1
Lord Cardigan,278,$$ - $$$,restaurant,4.12,"59 Cardigan Pl, Melbourne, Victoria 3206 Australia",114,Vietnamese,3
400 Gradi,1,$$ - $$$,restaurant,3.78,"99 Lygon St, Brunswick West, Moreland, Victoria 3057 Australia",773,Middle Eastern,2
Belgian Beer Cafe,300,$$ - $$$,restaurant,3.09,"5 Riverside Qy Southbank, Melbourne, Victoria 3006 Australia",256,Café,2
Indian Palace Restaurant,4,$$ - $$$,restaurant,4.51,"131 Church St, Brighton, Bayside, Victoria 3186 Australia",153,Indian,3
Anada,17,$$ - $$$,restaurant,4.14,"197 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",219,Italian,2
Ish Restaurant,15,$$ - $$$,restaurant,4.6,"199 Gertrude St, Fitzroy, Yarra, Victoria 3065 Australia",62,Seafood,2
L'Hotel Gitan,2,$$ - $$$,restaurant,3.66,"32 Commercial Rd, Prahran, Stonnington, Victoria 3181 Australia",256,Dessert,2
Hawker Hall,4,$$ - $$$,restaurant,3.32,"98 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",506,Middle Eastern,3
Crossways Restaurant,297,$,restaurant,3.7,"309-325 Bourke St, Melbourne, Victoria 3000 Australia",104,Dessert,1
Le Petite Bourke,275,$$ - $$$,restaurant,3.49,"24 Little Bourke St, Melbourne, Victoria 3000 Australia",130,Chinese,2
Royal Stacks,256,$,restaurant,4.18,"470 Collins St, Melbourne, Victoria 3000 Australia",169,Korean,1
Donnini's Restaurant,152,$$ - $$$,restaurant,4.5,"320 Lygon St Carlton, Melbourne, Victoria 3053 Australia",297,Greek,3
City Wine Shop,212,$$ - $$$,restaurant,4.5,"159 Spring St, Melbourne, Victoria 3000 Australia",255,Greek,2
Rock Paper Scissors,260,$$ - $$$,restaurant,4.8,"136-138 Rouse St, Melbourne, Victoria 3207 Australia",76,Italian,2
Ricardo's Trattoria,1,$$ - $$$,restaurant,3.9,"99 Dundas Pl, Albert Park, Port Phillip, Victoria 3206 Australia",176,Italian,3
Lune Croissanterie,221,$,restaurant,4.26,"161 Collins St Shop 16, Enter via Russell Street, Melbourne, Victoria 3000 Australia",156,Vietnamese,1
Maccaroni Trattoria Italiana,286,$$ - $$$,restaurant,4.01,"10-16 Manchester Lane, Melbourne, Victoria 3000 Australia",408,Italian,2
Mjolner,195,$$$$,restaurant,4.13,"106 Hardware St, Melbourne, Victoria 3000 Australia",136,Seafood,4
Ten Square Cafe,214,$$ - $$$,restaurant,4.3,"120 Hardware St, Melbourne, Victoria 3000 Australia",64,Café,2
Koko Black,312,$$ - $$$,restaurant,3.69,"167 Lygon St, Melbourne, Victoria 3053 Australia",187,Italian,3
University Cafe,319,$$ - $$$,restaurant,4.44,"257 Lygon St Carlton, Melbourne, Victoria 3053 Australia",269,Café,2
Asado,301,$$$$,restaurant,4.35,"6 Riverside Quay, Melbourne, Victoria 3006 Australia",211,Middle Eastern,4
Le Petit Gateau,315,$$ - $$$,restaurant,4.16,"458 Little Collins St, Melbourne, Victoria 3000 Australia",76,Thai,2
The Lady Of St Kilda,17,$$ - $$$,restaurant,4.6,"204 Barkly St Corner Smith Street, St Kilda, Port Phillip, Victoria 3182 Australia",53,Indian,3
Paris Go Bistro,307,$$ - $$$,restaurant,3.04,"116 Rathdowne St, Melbourne, Victoria 3053 Australia",169,French,3
ShanDong MaMa mini,302,$,restaurant,4.8,"5 Centre Pl, Melbourne, Victoria 3000 Australia",63,American,1
Tokyo Tina,6,$$ - $$$,restaurant,3.59,"66A Chapel St, Windsor, Stonnington, Victoria 3181 Australia",202,French,2
Il Gambero,303,$$ - $$$,restaurant,4.8,"166 Lygon St Carlton, Melbourne, Victoria 3053 Australia",322,Vietnamese,2
Viet Kitchen,1,$,restaurant,4.17,"110 Hopkins St, Footscray, Maribyrnong, Victoria 3011 Australia",130,Vietnamese,1
Radio Mexico Taqueria & Bar,15,$$ - $$$,restaurant,3.91,"11-13 Carlisle St, St Kilda, Port Phillip, Victoria 3182 Australia",288,Chinese,2
Mister Bianco,3,$$ - $$$,restaurant,4.6,"285 High St, Kew, Boroondara, Victoria 3101 Australia",214,Korean,3
Kekou,7,$$ - $$$,restaurant,4.4,"396 Bridge Road, Richmond, Yarra, Victoria 3121 Australia",64,Greek,3
The Abyssinian,187,$$ - $$$,restaurant,3.61,"277 Racecourse Rd, Melbourne, Victoria 3031 Australia",113,American,3
Blue Chillies,16,$$ - $$$,restaurant,4.2,"182 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",145,Café,2
Caffe e Torta,232,$$ - $$$,restaurant,3.33,"314 Little Collins St, Melbourne, Victoria 3000 Australia",289,Chinese,2
Gimlet At Cavendish House,208,$$$$,restaurant,4.61,"33 Russell St, Melbourne, Victoria 3000 Australia",104,Café,4
Pascale Bar & Grill,284,$$$$,restaurant,4.26,"133 Russell St Level 1, Melbourne, Victoria 3000 Australia",161,American,4
Spice Temple,200,$$$$,restaurant,4.36,"Crown Entertainment Complex 8 Whiteman St Crown Complex, Southbank, Melbourne, Victoria 3006 Australia",1311,Dessert,4
Ludlow Bar & Dining Room,322,$$ - $$$,restaurant,4.15,"6 Riverside Qy, Melbourne, Victoria 3006 Australia",702,Korean,3
Sunda,253,$$ - $$$,restaurant,4.4,"18 Punch lane, Melbourne, Victoria 3000 Australia",111,Vietnamese,3
The General Assembly,273,$$ - $$$,restaurant,3.0,"29 South Wharf Prom, Melbourne, Victoria 3006 Australia",269,Seafood,3
Shoya,310,$$$$,restaurant,3.3,"25 Market Lane, Melbourne, Victoria 3000 Australia",216,Italian,4
Pilgrim Bar,325,$$ - $$$,restaurant,3.76,"Vaults 15-19 Federation Wharf Federation Square, Melbourne, Victoria 3000 Australia",175,Australian,3
White Mojo Speciality Coffee & Roaster,318,$$ - $$$,restaurant,4.38,"115 Hardware St, Melbourne, Victoria 3000 Australia",203,Café,3
Dip In Cafe,314,$$ - $$$,restaurant,4.6,"20-22 McKillop St, Melbourne, Victoria 3000 Australia",100,Café,2
Laurent Bakery,311,$$ - $$$,restaurant,4.41,"306 Little Collins St, Melbourne, Victoria 3000 Australia",352,Café,3
One Eleven,313,$$$$,restaurant,4.6,"111 Spring Street The Hotel Windsor, Melbourne, Victoria 3000 Australia",175,Dessert,4
Mister and Miss Cafe,1,$$ - $$$,restaurant,3.0,"Mont Albert Victoria 711-713 Whitehorse Rd, Mont Albert, Whitehorse, Victoria 3127 Australia",199,Café,2
Steer Dining Room,298,$$ - $$$,restaurant,3.08,"15 Claremont St, Melbourne, Victoria 3141 Australia",76,Seafood,3
Cafe Segovia,308,$$ - $$$,restaurant,4.7,"33 Block Place, Melbourne, Victoria 3000 Australia",297,Café,3
Hopscotch,288,$$ - $$$,restaurant,3.77,"Ground Floor, 4 Riverside Quay Southbank, Melbourne, Victoria 3006 Australia",589,French,2
Walkers Doughnuts,324,$,restaurant,3.88,"26/2 Elizabeth St, Melbourne, Victoria 3000 Australia",127,Mexican,1
Saint Crispin,4,$$$$,restaurant,4.2,"300 Smith St, Collingwood, Yarra, Victoria 3066 Australia",332,American,4
Nevsky Russian Restaurant,1,$$ - $$$,restaurant,4.62,"476 Glen Huntly Rd, Elsternwick, Glen Eira, Victoria 3185 Australia",160,Italian,2
Marios Cafe,19,$$ - $$$,restaurant,3.65,"303 Brunswick St, Fitzroy, Yarra, Victoria 3065 Australia",225,Café,2
Tim Ho Wan,323,$$ - $$$,restaurant,4.61,"206 Bourke St, Melbourne, Victoria 3000 Australia",361,Greek,2
Rosetta,224,$$$$,restaurant,3.97,"Crown Entertainment Complex 8 Whiteman St Crown Complex, Melbourne, Victoria 3006 Australia",996,Dessert,4
Chez Olivier,1,$$ - $$$,restaurant,4.8,"268 Toorak Rd, South Yarra, Victoria 3141 Australia",356,Seafood,2
Le Bon Ton,3,$$ - $$$,restaurant,3.31,"51 Gipps St, Collingwood, Yarra, Victoria 3066 Australia",306,Seafood,3
Boosa,2,$$ - $$$,restaurant,4.09,"716 Centre Rd, Bentleigh, Glen Eira, Victoria 3165 Australia",97,Australian,3
Da Noi,270,$$$$,restaurant,4.29,"95 Toorak Rd South Yarra, Melbourne, Victoria 3141 Australia",274,Indian,4
Bibelot,293,$$ - $$$,restaurant,4.0,"285-287 Coventry St, Melbourne, Victoria 3205 Australia",80,Australian,2
White Rabbit,3,$$ - $$$,restaurant,3.92,"118 Church St, Brighton, Bayside, Victoria 3186 Australia",246,Seafood,3
Oriental Tea House,255,$$ - $$$,restaurant,3.42,"378 Little Collins St, Melbourne, Victoria 3000 Australia",221,Seafood,2
Lindt Chocolate Cafe Southgate Melbourne,282,$$ - $$$,restaurant,4.54,"Shop G09, 3 Southgate Avenue Southgate Retail Precinct, Melbourne, Victoria 3006 Australia",208,Dessert,2
Fonda Mexican,349,$$ - $$$,restaurant,4.7,"31 Flinders Lane, Melbourne, Victoria 3000 Australia",312,Mexican,3
Corner & Bench,346,$,restaurant,4.38,"408 Bourke St, Melbourne, Victoria 3000 Australia",86,American,1
Fifteen Pounds Cafe,1,$$ - $$$,restaurant,4.8,"21 Railway Place, Fairfield, Yarra, Victoria 3078 Australia",84,Café,3
Saporito Cafe Bar & Grill,352,$$ - $$$,restaurant,4.06,"12-16 Kavanagh St, Melbourne, Victoria 3006 Australia",71,American,2
Pope Joan,354,$$ - $$$,restaurant,4.11,"45 Collins St, Melbourne, Victoria 3000 Australia",170,Australian,2
The Hof Downtown,383,$$ - $$$,restaurant,3.43,"737 Bourke St Corner of Bourke and Village Street, Melbourne, Victoria 3008 Australia",160,Greek,2
Black Pearl Bar,338,$$ - $$$,restaurant,3.72,"304 Brunswick Street, Melbourne, Victoria Fitzroy Australia",68,Chinese,2
Hurricane Handsome,341,$$ - $$$,restaurant,3.5,"329-331 Bay St, Melbourne, Victoria 3207 Australia",89,Mexican,3
Yeonga Korean BBQ,344,$$ - $$$,restaurant,4.6,"1-3 Cobden St, Melbourne, Victoria 3051 Australia",76,Korean,3
The Crux & Co,331,$$ - $$$,restaurant,4.7,"35 Albert Rd G01, Melbourne, Victoria 3004 Australia",100,Greek,2
Phancy Cafe,340,$$ - $$$,restaurant,4.3,"408 Queen St, Melbourne, Victoria 3000 Australia",93,Café,3
The Irish Times Pub,353,$$ - $$$,restaurant,4.26,"427 Little Collins St, Melbourne, Victoria 3000 Australia",270,Australian,2
Ecco,335,$$ - $$$,restaurant,3.51,"97 Toorak Rd, Melbourne, Victoria 3141 Australia",157,Korean,2
George Street Cafe,332,$$ - $$$,restaurant,4.66,"65 George St, Melbourne, Victoria 3002 Australia",66,Café,2
Collins Kitchen,357,$$$$,restaurant,3.65,"123 Collins St, Melbourne, Victoria 3000 Australia",273,Korean,4
Lemnos Tavern,4,$$ - $$$,restaurant,4.58,"445 High St, Prahran, Stonnington, Victoria 3181 Australia",113,American,2
Moroccan Soup Bar,2,$,restaurant,4.67,"183 St Georges Rd, North Fitzroy, Yarra, Victoria 3068 Australia",218,Middle eastern,1
Station Hotel,3,$$ - $$$,restaurant,3.83,"59 Napier St, Footscray, Maribyrnong, Victoria 3011 Australia",352,French,3
"Borsch, Vodka & Tears",5,$$ - $$$,restaurant,4.48,"173 Chapel St, Windsor, Stonnington, Victoria 3181 Australia",236,Italian,3
Munich Brauhaus,304,$$ - $$$,restaurant,3.2,"45 South Wharf Promenade, Melbourne, Victoria Australia",1034,Indian,2
Carosello,2,$$ - $$$,restaurant,4.8,"22 Margaret St, Moonee Ponds, Moonee Valley, Victoria 3039 Australia",88,Vietnamese,3
Lamaro's Hotel,328,$$ - $$$,restaurant,3.87,"273 Cecil St, Melbourne, Victoria 3205 Australia",194,Korean,2
Postmaster Hotel,2,$$ - $$$,restaurant,3.64,"186 High St, Kew, Boroondara, Victoria 3101 Australia",185,Seafood,2
La Roche,13,$$ - $$$,restaurant,4.65,"185 Acland St, St Kilda, Port Phillip, Victoria 3182 Australia",325,Australian,2
Mr Huang Jin,227,$$ - $$$,restaurant,4.1,"24 Katherine Pl Plaza Level, Rialto Towers, Melbourne, Victoria 3000 Australia",96,Mexican,2
Andrew's Hamburgers,249,$,restaurant,4.4,"144 Bridport St, Melbourne, Victoria 3206 Australia",169,American,1
Rococo,6,$$ - $$$,restaurant,4.13,"87-91 Acland St St.Kilda, St Kilda, Port Phillip, Victoria 3182 Australia",973,Chinese,3
Flora Indian Restaurant,385,$,restaurant,3.06,"238A Flinders St, Melbourne, Victoria 3000 Australia",235,Indian,1
